AAC,AAC HOLDINGS INC
AAN,AARONS INC
AAOI,APPLIED OPTOELECTRONICS
AAON,AAON INC
AAT,AMERICAN ASSETS TRST INC
AAWW,ATLAS AIR WORLDWIDE HLDG
AAXN,AXON ENTERPRISE INC
ABAX,ABAXIS INC
ABCB,AMERIS BANCORP
ABCD,CAMBIUM LEARNING GRP INC
ABCO,ADVISORY BOARD CO
ABEO,ABEONA THERAPEUTICS INC
ABG,ASBURY AUTOMOTIVE GROUP
ABM,ABM INDUSTRIES INC
ABTX,ALLEGIANCE BANCSHARES
AC,ASSOCIATED CAPITAL GROUP
ACBI,ATLANTIC CAPITAL INC
ACCO,ACCO BRANDS CORP
ACET,ACETO CORP
ACHN,ACHILLION PHARM
ACIA,ACACIA COMMUNICATIONS
ACIW,ACI WORLDWIDE INC
ACLS,AXCELIS TECHNOLOGIES INC
ACNB,ACNB CORP
ACOR,ACORDA THERAPEUTICS INC
ACRE,ARES COML REAL ESTATE
ACRS,ACLARIS THERAPEUTICS
ACTA,ACTUA CORPORATION
ACTG,ACACIA RESEARCH CORP
ACXM,ACXIOM CORP
ADC,AGREE REALTY CORP
ADES,ADVANCED EMISSIONS SLTNS
ADMS,ADAMAS PHARMACEUTICALS
ADRO,ADURO BIOTECH INC
ADSW,ADVANCED DISPOSAL SVCS
ADTN,ADTRAN INC
ADUS,ADDUS HOMECARE CORP
ADXS,ADVAXIS INC
AE,ADAMS RESOURCES & ENERGY
AEGN,AEGION CORP
AEIS,ADVANCED ENERGY INDS INC
AEL,AMERICAN EQUITY INVST
AEO,AMERICAN EAGLE OUTFITTER
AERI,AERIE PHARMACEUTICALS
AF,ASTORIA FINANCIAL CORP
AFAM,ALMOST FAMILY INC
AFH,ATLAS FINANCIAL HOLDINGS
AFI,ARMSTRONG FLOORING INC
AFSI,AMTRUST FINL SVCS
AGEN,AGENUS INC
AGFS,AGROFRESH SOLUTIONS INC
AGII,ARGO GROUP INTL
AGM,FEDERAL AGRIC MTG CO
AGX,ARGAN INC
AGYS,AGILYSYS INC
AHH,ARMADA HOFFLER PPTYS INC
AHP,ASHFORD HOSP PRIME
AHT,ASHFORD HOSPITALITY
AI,ARLINGTON ASSET INVT
AIMC,ALTRA INDUSTRIAL MOTION
AIMT,AIMMUNE THERAPEUTICS INC
AIN,ALBANY INTERNATIONAL
AIR,AAR CORP
AIT,APPLIED INDUSTRIAL TECH
AJRD,AEROJET ROCKETDYNE HLDGS
AJX,GREAT AJAX CORP
AKAO,ACHAOGEN INC
AKBA,AKEBIA THERAPEUTICS INC
AKR,ACADIA REALTY TRUST
AKS,AK STEEL HOLDING CORP
AKTS,AKOUSTIS TECHNOLOGIES
ALCO,ALICO INC
ALDR,ALDER BIOPHARMACEUTICALS
ALE,ALLETE INC
ALEX,ALEXANDER & BALDWIN INC
ALG,ALAMO GROUP INC
ALGT,ALLEGIANT TRAVEL CO
ALJ,ALON USA ENERGY INC
ALOG,ANALOGIC CORP
ALRM,ALARM.COM HOLDINGS INC
ALX,ALEXANDERS INC
